2008-05-31_18:06:33|Google|141000
2008-05-31_18:06:33|百度|28200
2008-05-31_19:00:35|Google|941000
2008-05-31_19:00:35|百度|28200
2008-05-31_19:00:35|搜狗|873328
2008-05-31_19:00:35|雅虎|12095272
2008-05-31_19:00:35|搜搜|941000
2008-05-31_19:00:35|谷歌|941000
2008-05-31_19:00:35|altavista|14100000
2008-05-31_19:00:35|中搜|6730
2008-05-31_19:00:35|电信114|88
2008-05-31_19:00:35|有道|53209715
2008-05-31_19:00:35|MSN|87
2008-06-02_17:25:27|Google|941000
2008-06-02_17:25:27|谷歌|941000
2008-06-02_17:25:27|搜狗|873328
2008-06-02_17:25:27|电信114|88
2008-06-02_17:25:27|百度|28200
2008-06-02_17:25:27|中搜|5820
2008-06-02_17:25:27|altavista|14200000
2008-06-02_17:25:27|MSN|88
2008-06-02_17:25:27|搜搜|941000
2008-06-02_17:25:27|有道|53209715
2008-06-02_17:25:27|雅虎|6364859
2008-06-12_14:06:00|百度|29100
2008-06-12_14:06:00|Google|941000
2008-06-12_14:06:00|谷歌|941000
2008-06-12_14:06:00|有道|53209715
2008-06-12_14:06:00|中搜|5875
2008-06-12_14:06:00|altavista|14100000
2008-06-12_14:06:00|搜狗|873328
2008-06-12_14:06:00|电信114|97
2008-06-12_14:06:00|搜搜|941000
2008-06-12_14:06:00|雅虎|6525260
2008-06-12_14:06:00|MSN|0
